stage,blocking,aoi,aoi_suivant,n,gap_moyen,gap_median,gap_ecart_type
AOI2,AOI2_A17,A17 Paper Pad,A17 Glass Tip,34,0.43965297058823816,0.2001989999999978,0.6592674798245056
AOI2,AOI2_A17,A17 Glass Tip,A17 Paper Pad,34,0.6634050294117662,0.11678249999999935,0.9206866939544108
AOI2,AOI2_A17,A17 Paper Pad,A17 Bucket,1,0.33366500000005317,0.33366500000005317,
AOI2,AOI2_A17,A17 Bucket,A17 Paper Pad,1,0.6005979999999909,0.6005979999999909,
AOI2,AOI2_A23,A23 Glass Center,A23 Glass Tip,9,0.2928836666666636,0.2001989999999978,0.3289513505303592
AOI2,AOI2_A23,A23 Glass Tip,A23 Glass Center,7,0.20973200000000652,0.10009900000000016,0.24947962163072016
AOI2,AOI2_A23,A23 Glass Tip,A23 Paper Pad,7,0.38609814285715466,0.13346599999999853,0.4467698858635034
AOI2,AOI2_A23,A23 Paper Pad,A23 Glass Tip,5,0.03336659999999938,0.03336699999999837,0.03336650000074889
AOI2,AOI2_A23,A23 Paper Pad,A23 Glass Center,2,0.8842129999999884,0.8842129999999884,1.0617165893108997
AOI2,AOI2_A31,A31 Jacks,A31 Glass Center,24,0.24190712500000208,0.06673200000000179,0.3121154370157035
AOI2,AOI2_A31,A31 Glass Center,A31 Jacks,22,0.12436586363636272,0.033366000000000895,0.24262409964216144
AOI2,AOI2_A31,A31 Glass Center,A31 Glass Tip,15,0.5761286000000079,0.033366000000000895,1.2274214630845965
AOI2,AOI2_A31,A31 Glass Tip,A31 Glass Center,12,0.17239358333333143,0.1000994999999989,0.1955100343472067
AOI2,AOI2_A31,A31 Glass Tip,A31 Jacks,11,0.22143209090909916,0.06673200000000179,0.32393823522685483
AOI2,AOI2_A31,A31 Jacks,A31 Glass Tip,9,0.04078111111111108,0.033366000000000895,0.054770344358156434
AOI2,AOI2_A31,A31 Paper Pad,A31 Glass Center,5,0.43376479999999445,0.16683199999999943,0.5076762911843452
AOI2,AOI2_A31,A31 Glass Center,A31 Paper Pad,4,0.15014899999999898,0.11678249999999935,0.14544146925137733
AOI2,AOI2_A31,A31 Glass Tip,A31 Paper Pad,3,0.2001986666666653,0.06673200000000179,0.2606014000141421
AOI2,AOI2_A31,A31 Paper Pad,A31 Glass Tip,3,0.4226430000000316,0.23356599999999617,0.542484366492769
AOI2,AOI2_A35,A35 Glass Tip,A35 Glass Center,24,0.2613710000000111,0.13346500000000106,0.39512493258825765
AOI2,AOI2_A35,A35 Glass Center,A35 Glass Tip,22,0.14711581818181685,0.05004900000000134,0.27814833926943405
AOI2,AOI2_A35,A35 Glass Center,A35 Jacks,12,0.04448841666666681,0.0,0.06723647197285133
AOI2,AOI2_A35,A35 Jacks,A35 Glass Center,10,0.09008939999999939,0.033366000000000895,0.18211205970024497
AOI2,AOI2_A35,A35 Paper Pad,A35 Glass Center,6,0.30029866666668187,0.1835154999999986,0.4070169906398222
AOI2,AOI2_A35,A35 Jacks,A35 Glass Tip,5,0.06005959999999959,0.0,0.13429734830144544
AOI2,AOI2_A35,A35 Glass Center,A35 Paper Pad,5,0.23356579999999666,0.30029899999999543,0.22506960688906574
AOI2,AOI2_A35,A35 Glass Tip,A35 Paper Pad,5,0.6072705999999926,0.2335649999999987,0.620384916052758
AOI2,AOI2_A35,A35 Paper Pad,A35 Glass Tip,4,0.5588889999999935,0.3336644999999976,0.6373946066140297
AOI2,AOI2_A35,A35 Glass Tip,A35 Jacks,3,0.08897733333333235,0.06673299999999927,0.10193634128382824
AOI2,AOI2_A35,A35 Paper Pad,A35 Bucket,1,0.2001989999999978,0.2001989999999978,
AOI2,AOI2_A35,A35 Bucket,A35 Glass Tip,1,0.5672309999999925,0.5672309999999925,
AOI2,AOI2_A43,A43 Glass Center,A43 Glass Edge Left,11,0.17896563636363474,0.033366000000000895,0.29175134229760136
AOI2,AOI2_A43,A43 Glass Edge Left,A43 Glass Center,10,0.18685230000000957,0.11678249999999935,0.23916540324454433
AOI2,AOI2_A43,A43 Glass Edge Left,A43 Glass Tip,9,0.2854693333333292,0.03336699999999837,0.44488706562508057
AOI2,AOI2_A43,A43 Glass Tip,A43 Glass Edge Left,7,0.2335649999999987,0.13346500000000106,0.3588519009057401
AOI2,AOI2_A43,A43 Glass Tip,A43 Paper Pad,7,0.26693228571428207,0.0,0.6209524408354963
AOI2,AOI2_A43,A43 Paper Pad,A43 Glass Tip,6,0.2224428333333511,0.2335649999999987,0.14872129415577892
AOI2,AOI2_A43,A43 Glass Tip,A43 Glass Center,5,0.21354539999999816,0.16683199999999943,0.1866736725580207
AOI2,AOI2_A43,A43 Glass Center,A43 Glass Tip,4,0.02502475000000004,0.0,0.05004950000000008
AOI2,AOI2_A43,A43 Paper Pad,A43 Glass Edge Left,2,0.3503479999999968,0.3503479999999968,0.3539055297702999
AOI2,AOI2_A43,A43 Paper Pad,A43 Glass Center,1,0.0,0.0,
AOI2,AOI2_A43,A43 Glass Center,A43 Paper Pad,1,0.033366000000000895,0.033366000000000895,
AOI2,AOI2_A43,A43 Glass Edge Left,A43 Paper Pad,1,0.46713099999999486,0.46713099999999486,
AOI2,AOI2_A51,A43 Glass Tip,A51 Glass Edge Left,5,0.880876400000011,0.23356600000010985,1.27287999889079
AOI2,AOI2_A51,A51 Glass Center,A43 Glass Tip,4,0.2585907499999962,0.0,0.5171814999999924
AOI2,AOI2_A51,A51 Glass Edge Left,A51 Glass Center,3,0.13346599999999853,0.0,0.23116989308298524
AOI2,AOI2_A51,A43 Glass Tip,A51 Glass Center,3,0.3559096666666998,0.3336649999999963,0.23435911600012344
AOI2,AOI2_A51,A51 Glass Edge Left,A43 Glass Tip,3,0.8675296666666554,1.1678279999999859,0.6698289087478382
AOI2,AOI2_A51,A51 Paper Pad,A43 Glass Tip,2,0.05004950000000008,0.05004950000000008,0.07078068168999233
AOI2,AOI2_A51,A51 Glass Center,A51 Glass Edge Left,2,0.1000994999999989,0.1000994999999989,0.14156207048676406
AOI2,AOI2_A51,A51 Glass Edge Left,A51 Paper Pad,1,0.033366000000000895,0.033366000000000895,
AOI2,AOI2_A51,A43 Glass Tip,A51 Paper Pad,1,1.801792999999975,1.801792999999975,
AOI3,AOI3_E10,E10 Glass Edge Left,E10 Glass Center,17,0.13808541176470446,0.03353500000000054,0.24003988692169717
AOI3,AOI3_E10,E10 Glass Center,E10 Glass Edge Left,17,0.18542894117647157,0.03353500000000054,0.2698782256549878
AOI3,AOI3_E10,E10 Glass Center,E10 Glass Tip,4,0.5700954999999936,0.40242049999999097,0.6611306334305923
AOI3,AOI3_E10,E10 Glass Tip,E10 Glass Center,3,0.24592366666666976,0.03353500000000054,0.39726413784828
AOI3,AOI3_E10,E10 Glass Tip,E10 Glass Edge Left,2,0.0,0.0,0.0
AOI3,AOI3_E10,E10 Glass Edge Left,E10 Glass Tip,2,0.01676750000000027,0.01676750000000027,0.023712825907091253
AOI3,AOI3_E12,E12 Glass Center,E12 Glass Tip,6,0.005589166666666756,0.0,0.013690606420705865
AOI3,AOI3_E12,E12 Glass Tip,E12 Glass Center,6,0.01676750000000027,0.0,0.028057393989820673
AOI3,AOI3_E12,E12 Glass Edge Left,E12 Glass Center,4,0.13414000000000215,0.06707000000000107,0.1596585349007922
AOI3,AOI3_E12,E12 Glass Center,E12 Glass Edge Left,3,0.15649700000000166,0.10060599999999909,0.09680691771252942
AOI3,AOI3_E12,E12 Glass Edge Left,E12 Glass Tip,2,0.050302500000000805,0.050302500000000805,0.07113847772127375
AOI3,AOI3_E12,E12 Glass Tip,E12 Glass Edge Left,2,0.33534999999999116,0.33534999999999116,0.4742565181418049
AOI3,AOI3_E20,E20 Glass Edge Right,E20 Glass Center,27,0.09315288888890799,0.03353500000002896,0.12524656907364293
AOI3,AOI3_E20,E20 Glass Center,E20 Glass Edge Right,26,0.2025000000000104,0.03353500000002896,0.36802831761699983
AOI3,AOI3_E20,E20 Glass Center,E20 Glass Edge Left,11,0.18291836363639194,0.06707000000005792,0.2625018589462941
AOI3,AOI3_E20,E20 Glass Edge Left,E20 Glass Center,10,0.12407950000001619,0.03353500000002896,0.23609846721055167
AOI3,AOI3_E20,E20 Glass Center,E20 Glass Tip,8,0.4233795000000242,0.03353500000002896,0.8153388824517813
AOI3,AOI3_E20,E20 Glass Edge Right,E20 Paper Pad,8,0.9641318750000138,0.10060500000003003,2.5112432903031268
AOI3,AOI3_E20,E20 Glass Tip,E20 Glass Edge Right,7,0.2107915714285988,0.23474500000003218,0.2064646989575251
AOI3,AOI3_E20,E20 Glass Tip,E20 Glass Center,7,0.22037328571431253,0.13414099999999962,0.22567280207469015
AOI3,AOI3_E20,E20 Paper Pad,E20 Glass Edge Right,5,0.020121000000017375,0.03353500000002896,0.01836787596595161
AOI3,AOI3_E20,E20 Glass Edge Right,E20 Glass Tip,3,0.12296166666667811,0.10060500000003003,0.13553008894091853
AOI3,AOI3_E20,E20 Glass Edge Left,E20 Glass Tip,3,0.12296166666669706,0.03353500000002896,0.15489153021819527
AOI3,AOI3_E20,E20 Paper Pad,E20 Glass Center,3,0.6818786666666862,0.6707000000000107,0.6540046562757232
AOI3,AOI3_E20,E20 Glass Center,E20 Paper Pad,1,0.0,0.0,
AOI3,AOI3_E20,E20 Glass Tip,E20 Glass Edge Left,1,0.0,0.0,
AOI3,AOI3_E20,E20 Paper Pad,E20 Glass Tip,1,0.03353500000002896,0.03353500000002896,
AOI3,AOI3_E22,E22 Paper Pad,E22 Glass Edge Left,5,0.10060500000001867,0.03353500000002896,0.12321545778635666
AOI3,AOI3_E22,E22 Glass Edge Left,E22 Glass Center,4,0.18444275000001653,0.16767500000000268,0.14871846574513506
AOI3,AOI3_E22,E22 Glass Edge Right,E22 Paper Pad,3,0.0,0.0,0.0
AOI3,AOI3_E22,E22 Glass Edge Left,E22 Paper Pad,3,0.1341403333333536,0.10060500000003003,0.15367722147519938
AOI3,AOI3_E22,E22 Glass Center,E22 Glass Edge Right,3,0.41359866666668194,0.03353500000002896,0.6582895807775648
AOI3,AOI3_E22,E22 Paper Pad,E22 Glass Center,2,0.0,0.0,0.0
AOI3,AOI3_E22,E22 Glass Center,E22 Glass Edge Left,2,0.0670700000000295,0.0670700000000295,0.047425651814182505
AOI3,AOI3_E22,E22 Glass Center,E22 Glass Tip,1,0.0,0.0,
AOI3,AOI3_E22,E22 Glass Edge Left,E22 Glass Tip,1,0.13414000000000215,0.13414000000000215,
AOI3,AOI3_E22,E22 Glass Center,E22 Paper Pad,1,0.20121000000000322,0.20121000000000322,
AOI3,AOI3_E22,E22 Glass Tip,E22 Glass Center,1,0.20121000000006006,0.20121000000006006,
AOI3,AOI3_E22,E22 Glass Tip,E22 Paper Pad,1,0.4359550000000354,0.4359550000000354,
AOI3,AOI3_E26,E26 Glass Edge Left,E26 Glass Center,11,0.12804281818183033,0.03353500000002896,0.21671928649144678
AOI3,AOI3_E26,E26 Glass Center,E26 Glass Edge Left,9,0.23474533333335834,0.13414000000000215,0.251512750000379
AOI3,AOI3_E26,E26 Glass Center,E26 Glass Edge Right,6,0.05589166666669598,0.03353500000002896,0.05048846181721397
AOI3,AOI3_E26,E26 Glass Tip,E26 Glass Center,4,0.05030250000002923,0.03353500000002896,0.03353500000000054
AOI3,AOI3_E26,E26 Glass Edge Right,E26 Glass Center,4,0.07545375000002252,0.050302500000015016,0.06348073045880633
AOI3,AOI3_E26,E26 Glass Center,E26 Glass Tip,4,0.3521177500000192,0.23474500000003218,0.43852747430111766
AOI3,AOI3_E26,E26 Glass Edge Right,E26 Glass Edge Left,3,0.16767533333334464,0.10060500000003003,0.2094265683248719
AOI3,AOI3_E8,E8 Glass Tip,E8 Glass Center,18,0.21425155555555542,0.03353500000000054,0.41840023176903013
AOI3,AOI3_E8,E8 Glass Center,E8 Glass Tip,13,0.2760189230769251,0.0,0.7104825771855685
AOI3,AOI3_E8,E8 Paper Pad,E8 Sponge,6,0.08942666666666572,0.0,0.14015329962817888
AOI3,AOI3_E8,E8 Sponge,E8 Paper Pad,6,0.17885350000000008,0.06707000000000107,0.31147298128649764
AOI3,AOI3_E8,E8 Glass Center,E8 Paper Pad,6,1.2631526666666677,0.4359554999999986,2.0498286625850155
AOI3,AOI3_E8,E8 Paper Pad,E8 Glass Tip,4,0.14252374999999873,0.1509074999999953,0.09234818915161817
AOI3,AOI3_E8,E8 Paper Pad,E8 Glass Center,2,0.5030254999999997,0.5030254999999997,0.6165341806911419
AOI3,AOI3_E8,E8 Sponge,E8 Glass Tip,1,0.23474499999998955,0.23474499999998955,
AOI3,AOI3_E8,E8 Glass Center,E8 Sponge,1,0.40242000000000644,0.40242000000000644,
AOI4,A1-A2,A1-A2 Bench,A1-A2 Tools,14,0.07647464285714278,0.05018649999999969,0.09411105136740329
AOI4,A1-A2,A1-A2 Tools,A1-A2 Bench,14,0.07886435714285753,1.7763568394002505e-15,0.18725615186550748
AOI4,A1-A2,A1-A2 Tools,A1-A2 Glass,5,0.4617162,0.13382999999999967,0.7216324740303753
AOI4,A1-A2,A1-A2 Glass,A1-A2 Tools,5,0.4817906000000002,0.03345799999999999,0.6752319392281444
AOI4,A1-A2,A1-A2 Apprentice Hands,A1-A2 Tools,4,0.05855074999999965,0.016728499999999924,0.09609988911327223
AOI4,A1-A2,A1-A2 Tools,A1-A2 Apprentice Hands,4,0.6022387499999999,0.016728999999999772,1.1822773767559442
AOI4,A1-A2,A1-A2 Bench,A1-A2 Metal Tray,3,0.6691539999999998,0.1338309999999998,0.9857255782655738
AOI4,A1-A2,A1-A2 Metal Tray,A1-A2 Tools,2,0.38476300000000085,0.38476300000000085,0.21292399395089448
AOI4,A1-A2,A1-A2 Metal Tray,A1-A2 Bench,1,0.0,0.0,
AOI4,A1-A2,A1-A2 Bench,A1-A2 Apprentice Hands,1,0.06691500000000028,0.06691500000000028,
AOI4,A1-A2,A1-A2 Tools,A1-A2 Torch,1,0.06691500000000161,0.06691500000000161,
AOI4,A1-A2,A1-A2 Torch,A1-A2 Glass,1,0.16728799999999922,0.16728799999999922,
AOI4,A1-A2,A1-A2 Metal Tray,A1-A2 Apprentice Hands,1,0.20074599999999965,0.20074599999999965,
AOI4,A1-A2,A1-A2 Apprentice Hands,A1-A2 Bench,1,0.23420299999999994,0.23420299999999994,
AOI4,A1-A2,A1-A2 Apprentice Hands,A1-A2 Metal Tray,1,0.23420400000000008,0.23420400000000008,
AOI4,A1-A2,A1-A2 Glass,A1-A2 Metal Tray,1,0.26766100000000037,0.26766100000000037,
AOI4,A1-A2,A1-A2 Glass,A1-A2 Bench,1,0.4349489999999996,0.4349489999999996,
AOI4,A1-A2,A1-A2 Metal Tray,A1-A2 Glass,1,0.6356959999999994,0.6356959999999994,
AOI4,A15-A23,A15-A23 Bench,A15-A23 Paper Pad,5,0.24758680000000483,0.2342040000000054,0.1507456423406697
AOI4,A15-A23,A15-A23 Glass,A15-A23 Bench,5,0.38810880000000336,0.13383000000001744,0.665210869387063
AOI4,A15-A23,A15-A23 Expert,A15-A23 Glass,4,0.24256800000001277,0.10037250000002018,0.35552916024708836
AOI4,A15-A23,A15-A23 Bucket,A15-A23 Bench,3,0.5018656666666649,0.4684080000000108,0.5194033278910757
AOI4,A15-A23,A15-A23 Paper Pad,A15-A23 Bench,2,0.016729000000012206,0.016729000000012206,0.02365837868495677
AOI4,A15-A23,A15-A23 Paper Pad,A15-A23 Glass,2,0.1840169999999972,0.1840169999999972,0.023658378684916576
AOI4,A15-A23,A15-A23 Bench,A15-A23 Bucket,2,0.18401700000001142,0.18401700000001142,0.07097372184125121
AOI4,A15-A23,A15-A23 Bench,A15-A23 Glass,2,0.5353229999999911,0.5353229999999911,0.28389771579214257
AOI4,A15-A23,A15-A23 Paper Pad,A15-A23 Mold,2,1.2881215000000168,1.2881215000000168,1.3485155642262612
AOI4,A15-A23,A15-A23 Glass,A15-A23 Expert,2,2.0743770000000126,2.0743770000000126,2.9336120868748314
AOI4,A15-A23,A15-A23 Glass,A15-A23 Paper Pad,2,2.3587679999999978,2.3587679999999978,1.9163117029173657
AOI4,A15-A23,A15-A23 Mold,A15-A23 Glass,2,5.202672500000006,5.202672500000006,4.282127651101073
AOI4,A15-A23,A15-A23 Paper Pad,A15-A23 Bucket,1,0.16728800000001343,0.16728800000001343,
AOI4,A15-A23,A15-A23 Bench,A15-A23 Expert,1,1.1375610000000052,1.1375610000000052,
AOI4,A15-A23,A15-A23 Mold,A15-A23 Expert,1,2.6431579999999997,2.6431579999999997,
AOI4,A15-A23,A15-A23 Glass,A15-A23 Mold,1,6.892285999999984,6.892285999999984,
AOI4,A2,A2 Paper Pad,A2 Bench,4,0.025093250000001177,0.016729000000001548,0.03203316097811863
AOI4,A2,A2 Bench,A2 Paper Pad,4,0.03345724999999877,0.033456999999998516,5.000000005139782e-07
AOI4,A2,A2 Expert,A2 Expert Hands,3,0.3345770000000006,0.0,0.5795043630439735
AOI4,A2,A2 Expert Hands,A2 Expert,3,0.836442333333333,1.1041039999999995,0.7398614706715934
AOI4,A2,A2 Expert,A2 Bench,2,0.0,0.0,0.0
AOI4,A2,A2 Bucket,A2 Expert,2,1.3215789999999998,1.3215789999999998,0.5914552244828006
AOI4,A2,A2 Bench,A2 Expert Hands,1,0.0,0.0,
AOI4,A2,A2 Expert Hands,A2 Bucket,1,0.03345700000000207,0.03345700000000207,
AOI4,A2,A2 Bench,A2 Expert,1,0.03345799999999599,0.03345799999999599,
AOI4,A2,A2 Glass,A2 Paper Pad,1,0.033458000000003096,0.033458000000003096,
AOI4,A2,A2 Expert,A2 Glass,1,0.06691599999999909,0.06691599999999909,
AOI4,A2,A2 Paper Pad,A2 Bucket,1,0.16728800000000277,0.16728800000000277,
AOI4,A2,A2 Glass,A2 Expert,1,0.9702729999999988,0.9702729999999988,
AOI4,A24-A27,A24-A27 Glass,A24-A27 Expert,7,0.8746798571428656,0.3345769999999959,0.8795894658173342
AOI4,A24-A27,A24-A27 Expert,A24-A27 Glass,7,1.2427145714285683,0.8698999999999728,1.6651078603251548
AOI4,A24-A27,A24-A27 Bench,A24-A27 Glass,2,0.08364449999999124,0.08364449999999124,0.11829118631790396
AOI4,A24-A27,A24-A27 Glass,A24-A27 Bench,2,0.25093250000000467,0.25093250000000467,0.1656065294742185
AOI4,A24-A27,A24-A27 Expert,A24-A27 Bench,1,1.1710190000000011,1.1710190000000011,
AOI4,A29,A29 Expert,A29 Glass,11,0.24637018181818152,0.0669149999999945,0.4324393568122173
AOI4,A29,A29 Glass,A29 Expert,11,0.6843617272727339,0.0669149999999945,1.0373355935569926
AOI4,A33,A33 Expert,A33 Glass,7,0.32979728571428624,0.1338309999999865,0.48231284442558564
AOI4,A33,A33 Bench,A33 Expert,6,0.027881333333349783,0.0,0.053602042721044005
AOI4,A33,A33 Glass,A33 Expert,5,0.14052199999999856,0.033456999999998516,0.21344844904449775
AOI4,A33,A33 Expert,A33 Bench,5,0.15390540000000782,0.13383100000004333,0.15975825245131692
AOI4,A33,A33 Paper Pad,A33 Expert,3,0.01115233333333284,0.0,0.01931640795627645
AOI4,A33,A33 Bench,A33 Paper Pad,3,0.04460999999997739,0.06691499999993766,0.038633393262804225
AOI4,A33,A33 Glass,A33 Bench,3,0.2676613333333269,0.200745999999981,0.30664458015320367
AOI4,A33,A33 Expert,A33 Paper Pad,3,0.5130183333333586,0.033458000000052834,0.8597611101825499
AOI4,A33,A33 Paper Pad,A33 Bench,2,0.05018599999999651,0.05018599999999651,0.023658378684936674
AOI4,A33,A33 Bench,A33 Glass,1,0.0,0.0,
AOI4,A4,A4 Glass,A4 Paper Pad,7,0.07647457142857153,0.06691500000000161,0.10705458515302219
AOI4,A4,A4 Paper Pad,A4 Glass,7,0.13383057142856813,0.1003729999999976,0.12063351762515326
AOI4,A4,A4 Expert,A4 Torch,3,0.07806766666666458,0.06691500000000161,0.0841997934459023
AOI4,A4,A4 Torch,A4 Expert,2,0.016728499999999258,0.016728499999999258,0.02365767157815727
AOI4,A4,A4 Torch,A4 Glass,2,0.18401749999999595,0.18401749999999595,0.2602400442139853
AOI4,A4,A4 Glass,A4 Expert,2,1.1710190000000011,1.1710190000000011,0.6151121889541785
AOI4,A4,A4 Glass,A4 Torch,1,0.033456999999998516,0.033456999999998516,
AOI4,A4,A4 Glass,A4 Furnace,1,0.16728800000000632,0.16728800000000632,
AOI4,A4,A4 Expert,A4 Glass,1,0.3345769999999959,0.3345769999999959,
